date,inflow,outflow,local
1895-07-01,829527.9999999998,548013.0,548902.8020235475
1895-08-01,1129425.0000000002,428105.0,758348.5495376589
1895-09-01,1812031.0000000002,401316.0,1355848.4257431033
1895-10-01,879770.0,452527.0,723114.694732666
1895-11-01,404065.0,75000.0,312724.6659851074
1895-12-01,408700.0,62000.0,282974.9531555176
1896-01-01,273750.0,62000.0,156752.74659729004
1896-02-01,311607.0,58000.0,181763.32577514648
1896-03-01,410369.0,62000.0,215151.8655090332
1896-04-01,499753.99999999994,72102.0,331665.72267150873
1896-05-01,463241.0,79022.0,387514.6255340576
1896-06-01,458864.00000000006,74535.0,339745.892364502
1896-07-01,725429.0,133794.0,455063.8695373535
1896-08-01,463284.0,86059.0,293408.48960876465
1896-09-01,845287.0,60000.0,637808.540512085
1896-10-01,631627.9999999999,77500.0,491819.38897705066
1896-11-01,524883.9999999999,75000.0,460342.67665100086
1896-12-01,391162.0,62000.0,313698.07540130615
1897-01-01,562555.0000000001,62000.0,438925.01181030285
1897-02-01,416748.0,56000.0,306980.5715332031
1897-03-01,268587.99999999994,62000.0,217477.02200317377
1897-04-01,280408.00000000006,60000.0,189570.69546508795
1897-05-01,233840.0,62000.0,191715.29162597656
1897-06-01,269705.00000000006,67786.0,228581.8427276612
1897-07-01,498010.99999999994,76913.0,398729.19140624994
1897-08-01,958042.0,62000.0,629011.3579101562
1897-09-01,2015294.9999999998,216980.0,996921.9849853513
1897-10-01,1018289.9999999999,77500.0,798041.154937744
1897-11-01,454917.0,75000.0,350255.24241638184
1897-12-01,283607.0,62000.0,200657.4050064087
1898-01-01,320384.00000000006,8000.0,158421.38626861578
1898-02-01,417216.0,0.0,246414.88827514648
1898-03-01,422845.99999999994,0.0,168333.71487426752
1898-04-01,313478.0,0.0,184035.3358001709
1898-05-01,302892.99999999994,0.0,261945.39532470697
1898-06-01,684002.0,0.0,593515.6443328857
1898-07-01,726427.0000000001,60000.0,539933.9076690675
1898-08-01,1219808.0,194460.0,854694.5475769043
1898-09-01,1229496.0,272061.0,860264.3932800293
1898-10-01,893515.0000000002,110151.0,774041.4900665286
1898-11-01,820602.0,75000.0,728699.9223403931
1898-12-01,401209.0,62000.0,322867.3512649536
1899-01-01,311283.0,62000.0,231620.72381210327
1899-02-01,295259.00000000006,56000.0,216844.1978988648
1899-03-01,438225.99999999994,62000.0,238083.6620483398
1899-04-01,419660.0,60000.0,356618.6856689453
1899-05-01,368061.0,62000.0,319591.68281555176
1899-06-01,942903.0,60000.0,746685.5553741455
1899-07-01,1055568.0,478746.0,626998.8134613037
1899-08-01,999372.9999999998,407474.0,580138.3879852293
1899-09-01,733563.0,174853.0,402661.6474609375
1899-10-01,563790.9999999999,77500.0,417970.8918609618
1899-11-01,463688.00000000006,75000.0,366412.7366638184
1899-12-01,338274.0,62000.0,251509.159614563
1900-01-01,270422.0,61249.0,184188.0542602539
1900-02-01,228199.00000000003,0.0,144010.22970581058
1900-03-01,367581.0,52000.0,313024.46742248535
1900-04-01,636991.0,60000.0,521678.185546875
1900-05-01,672042.0000000001,62000.0,528144.7723083497
1900-06-01,1106505.0,231623.0,775996.5293579102
1900-07-01,1573879.0000000005,787484.0,807799.8273925786
1900-08-01,2692370.0,1075867.0,982067.9708862305
1900-09-01,2394217.0,965640.0,1162444.3602714539
1900-10-01,1128510.0,403047.0,723906.7574462891
1900-11-01,515832.99999999994,75000.0,427266.83747863764
1900-12-01,380001.00000000006,62000.0,286406.0692596436
1901-01-01,293335.00000000006,62000.0,190346.07971191412
1901-02-01,245084.0,56000.0,145535.99645996094
1901-03-01,196437.0,62000.0,144938.3302001953
1901-04-01,207297.00000000003,59473.0,144589.610534668
1901-05-01,273320.9999999999,29128.0,219195.91268920887
1901-06-01,452519.00000000006,0.0,342347.65919494635
1901-07-01,490711.00000000006,56397.0,275240.2098693848
1901-08-01,787484.9999999999,62000.0,529016.78225708
1901-09-01,1741923.0,160920.0,1119811.3537597656
1901-10-01,1332706.0,275034.0,935021.8868408203
1901-11-01,960845.0,75000.0,714146.9080963135
1901-12-01,368980.00000000006,62000.0,282199.97503662115
1902-01-01,333597.0,62000.0,214191.1340637207
1902-02-01,233432.00000000003,56000.0,139057.6377182007
1902-03-01,200289.00000000003,37970.0,152223.78330993655
1902-04-01,197006.00000000003,51086.0,121237.0896148682
1902-05-01,196849.00000000003,32401.000000000004,144481.45503616336
1902-06-01,338789.99999999994,0.0,295686.11608123773
1902-07-01,317126.99999999994,2493.0,253404.27624511713
1902-08-01,227304.0,0.0,151659.05937957764
1902-09-01,296073.00000000006,0.0,210543.1153335572
1902-10-01,376977.99999999994,0.0,290551.04562377924
1902-11-01,221025.99999999997,0.0,161604.92222213742
1902-12-01,327524.00000000006,0.0,246257.6624832154
1903-01-01,232471.99999999997,0.0,147432.52874755856
1903-02-01,211891.00000000003,0.0,130068.66991806033
1903-03-01,219951.0,0.0,175667.0562057495
1903-04-01,223070.00000000003,0.0,174472.71536254886
1903-05-01,342273.0,0.0,239571.46723937988
1903-06-01,734932.9999999999,0.0,392222.8092651366
1903-07-01,1514434.0,44000.0,800681.243347168
1903-08-01,1041083.0000000001,549473.0,439113.33660888684
1903-09-01,1532146.0,495490.0,791353.8382568359
1903-10-01,1520790.0,317725.0,894388.5567626953
1903-11-01,1188656.0000000005,75000.0,430630.89440918015
1903-12-01,645587.0,71361.0,312180.18145751953
1904-01-01,604566.0,62000.0,395090.2134399414
1904-02-01,352842.00000000006,58000.0,230816.7319488526
1904-03-01,241812.0,62000.0,155510.66763305664
1904-04-01,743571.0,60000.0,107265.51833343506
1904-05-01,814942.9999999999,62000.0,200360.61178588856
1904-06-01,571013.0,451386.0,393947.28746032715
1904-07-01,1630854.0000000002,411680.0,1017223.0502319338
1904-08-01,1474459.0,747076.0,825914.971862793
1904-09-01,1325635.0,498077.0,794058.4681091309
1904-10-01,1467585.0000000002,325152.0,1204534.543640137
1904-11-01,935697.0,75000.0,789125.4448699951
1904-12-01,395047.0,62000.0,302048.77293395996
1905-01-01,223572.0,62000.0,114944.58457946777
1905-02-01,190781.99999999997,56000.0,91871.34921264646
1905-03-01,124378.99999999999,62000.0,74618.59689331053
1905-04-01,153110.0,60000.0,70162.8695526123
1905-05-01,473116.99999999994,62000.0,138185.92552185053
1905-06-01,712346.9999999999,60000.0,430454.7682495116
1905-07-01,2504450.0000000005,665076.0,1751428.1819152837
1905-08-01,1558299.0,872684.0,789587.8045654297
1905-09-01,1059063.9999999998,482101.0,711120.7734832761
1905-10-01,1239283.0,161707.0,995610.467956543
1905-11-01,1224607.0,75000.0,1014028.9429931641
1905-12-01,596549.0000000001,62000.0,503678.5266723634
1906-01-01,391568.0,62000.0,264516.3183860779
1906-02-01,228094.0,56000.0,123345.76578521729
1906-03-01,590513.0,63233.0,418871.51527404785
1906-04-01,598242.0000000001,60000.0,389550.8527221681
1906-05-01,731157.0,62000.0,603430.1557159424
1906-06-01,1426357.0,339820.0,1142266.7286834717
1906-07-01,2521428.0,829196.0,1478123.6350402832
1906-08-01,2263231.0,1095443.0,1335614.1950912476
1906-09-01,3082689.9999999995,1232397.0,1733540.9836578364
1906-10-01,3886174.0,1507815.0,1926477.9006347656
1906-11-01,1650653.0000000002,1786446.0,883518.5272827151
1906-12-01,999632.0000000001,1143056.0,809530.4851684571
1907-01-01,456835.0,62000.0,334232.76763153076
1907-02-01,633950.9999999999,56000.0,401529.33473205555
1907-03-01,627205.9999999999,62000.0,528187.0618286132
1907-04-01,324165.0,71188.0,218740.74673461914
1907-05-01,464331.0,112008.0,262794.31492614746
1907-06-01,519525.0,111012.0,316565.5174713135
1907-07-01,655805.9999999998,227455.0,400926.71624755836
1907-08-01,1008613.0,247385.0,712048.5969238281
1907-09-01,721095.9999999999,165264.0,512408.8300170897
1907-10-01,600288.0,77500.0,456105.2701950073
1907-11-01,591512.9999999999,75000.0,498305.5423927306
1907-12-01,508607.99999999994,62000.0,423207.2617416381
1908-01-01,329422.99999999994,62000.0,209514.88082885736
1908-02-01,321640.00000000006,58000.0,198119.90908813482
1908-03-01,349308.99999999994,62000.0,152709.77902221674
1908-04-01,549916.0,60000.0,122339.95111083984
1908-05-01,862279.9999999999,62000.0,223647.19783020008
1908-06-01,520632.00000000006,60000.0,395122.48046875006
1908-07-01,669373.0,62000.0,513922.3937988281
1908-08-01,661939.9999999999,186316.0,460245.21321105945
1908-09-01,1133560.0,309061.0,831311.6741485596
1908-10-01,1089612.0,214253.0,881260.7571868896
1908-11-01,452107.0,75000.0,376953.268157959
1908-12-01,369818.99999999994,62000.0,293845.8963012695
1909-01-01,234953.0,62000.0,147462.90180969238
1909-02-01,277306.0000000001,56000.0,190488.0561141969
1909-03-01,243766.99999999997,62000.0,187612.95004272458
1909-04-01,305924.0,60000.0,234666.1254043579
1909-05-01,812086.0,62000.0,669755.2924575806
1909-06-01,1888562.0,533224.0,1532022.0939331055
1909-07-01,1764755.0000000002,907781.0,1024039.076263428
1909-08-01,3789763.9999999995,1143897.0,2219170.512268066
1909-09-01,1890175.0,1294215.0,945378.2310180664
1909-10-01,1020205.9999999999,798169.0,712561.6613616942
1909-11-01,461372.00000000006,75000.0,363661.53725433355
1909-12-01,309190.00000000006,62000.0,226578.13161468512
1910-01-01,299943.0,62000.0,184147.68299102783
1910-02-01,610116.0,56000.0,203400.44470214844
1910-03-01,1243991.0,127834.0,158884.91328430176
1910-04-01,1172220.0000000002,87101.0,127369.25369262719
1910-05-01,774390.0,445877.0,173943.99667358398
