date,inflow,outflow,local
1900-05-01,686943.0000000002,62000.0,528239.7055358889
1900-06-01,1161025.0000000002,433002.0,758894.7919311526
1900-07-01,1799711.0000000002,915097.0,803972.4849853518
1900-08-01,2870754.0,1250637.0,1002990.8948974609
1900-09-01,2355809.0,1237210.0,1169513.745727539
1900-10-01,1204049.0000000002,905824.0,710108.1204605105
1900-11-01,569026.0000000001,200831.0,445154.67878723156
1900-12-01,372439.0,62000.0,283193.32692718506
1901-01-01,266772.0,62000.0,158415.01028442383
1901-02-01,224861.99999999997,56000.0,143993.4766540527
1901-03-01,221973.0,38965.0,172592.8173675537
1901-04-01,210968.0,60000.0,147022.69789123535
1901-05-01,298726.99999999994,62000.0,233957.45503234857
1901-06-01,468386.0,60000.0,341934.92001342773
1901-07-01,621418.0000000001,99916.0,274829.44509887707
1901-08-01,881768.0,259000.0,515766.9877624512
1901-09-01,1854767.9999999998,409217.0,1099108.5048828123
1901-10-01,1522547.0,639573.0,918272.7662963867
1901-11-01,1122387.0,473326.0,779483.1281433105
1901-12-01,373714.00000000006,106506.0,231696.38572692877
1902-01-01,268859.00000000006,62000.0,153879.43010711676
1902-02-01,214975.0,39488.0,140073.5479736328
1902-03-01,230428.0,60000.0,183753.56768798828
1902-04-01,210312.00000000003,73831.0,138392.37543487552
1902-05-01,225766.99999999997,62000.0,173057.21951675412
1902-06-01,371171.0,60000.0,297693.34906959534
1902-07-01,352049.0,62000.0,262888.7540206909
1902-08-01,229926.00000000003,62000.0,143764.5890426636
1902-09-01,299256.0,60000.0,202172.37298583984
1902-10-01,388309.99999999994,77500.0,305604.798500061
1902-11-01,254297.0,75000.0,185709.36853027344
1902-12-01,359311.0,62000.0,265590.0241088867
1903-01-01,283255.0,62000.0,167236.12737751007
1903-02-01,252301.00000000003,53919.0,179534.87984848025
1903-03-01,289015.0,27242.0,211389.02222442627
1903-04-01,300555.0,60000.0,225428.13650512695
1903-05-01,488955.0,62000.0,239339.00971984863
1903-06-01,963471.0,137116.0,391989.4555358887
1903-07-01,1771939.0,730372.0,800448.2846374512
1903-08-01,1019881.0000000001,728964.0,423117.08786010754
1903-09-01,1640964.0,798467.0,776218.977935791
1903-10-01,1673767.9999999998,555993.0,890656.4334716795
1903-11-01,1282649.0,205743.0,470560.2335205078
1903-12-01,712642.9999999999,417724.0,313810.62602233875
1904-01-01,701865.0,62000.0,378529.3526763916
1904-02-01,396003.00000000006,71778.0,218634.89369201666
1904-03-01,259503.0,80950.0,149374.33099365234
1904-04-01,724156.9999999999,317122.0,40644.54528045643
1904-05-01,846775.0,141771.0,197647.2267150879
1904-06-01,630239.0,211410.0,391238.1764831543
1904-07-01,2077066.9999999995,630616.0,1057926.2800903316
1904-08-01,1589376.0000000002,921602.0,810908.8039550784
1904-09-01,1412556.0000000002,748359.0,772106.2513732912
1904-10-01,1456453.0000000002,379665.0,1162479.1296234133
1904-11-01,938580.9999999999,203842.0,779513.3632812499
1904-12-01,408593.0,220305.0,311484.7049560547
1905-01-01,226933.0,62000.0,110884.19625854492
1905-02-01,183354.0,56000.0,94506.1605834961
1905-03-01,156347.0,62000.0,100365.40413665771
1905-04-01,186533.0,60000.0,99159.36993408203
1905-05-01,529545.0000000001,62000.0,135921.24227905285
1905-06-01,759912.9999999999,152455.0,428188.71783447254
1905-07-01,2717795.0000000005,758190.0,1721651.7864379887
1905-08-01,1708380.0000000002,1036288.0,797366.7581481936
1905-09-01,1230337.9999999998,1042257.0000000001,776430.0251770017
1905-10-01,1394301.0000000002,965460.0,989118.9837951662
1905-11-01,1261017.0,465064.0,970199.8942718506
1905-12-01,642484.0000000001,68228.0,547204.5436859132
1906-01-01,323491.0,62000.0,224236.43227767944
1906-02-01,167813.0,35653.0,76907.5610961914
1906-03-01,710810.0000000001,60000.0,442013.3324508668
1906-04-01,812230.9999999999,81689.0,533796.9798583983
1906-05-01,762337.0,68720.0,616311.7501831055
1906-06-01,1499663.0,598620.0,1143879.6708831787
1906-07-01,2742175.9999999995,956552.0,1472543.4822082515
1906-08-01,2456553.0,1220557.0,1409917.6912765503
1906-09-01,3009373.0,1691400.0,1540188.4985046387
1906-10-01,3948083.0,1709929.0,1942987.46484375
1906-11-01,1580666.0,1709633.0,822601.9585113525
